elementID,X172216,X308621,X104198,X308622,X104203,X198042,X203791,X203338,X346698,X346695,X144267,X128128,X59229,X308631,X94515,X308633,X193768,X70677,X201301,X201301,X346692,X104223,X104225,X104200,X67858,X240014,X193774,X308635,X140851,X203310
X21.6290,0.00462606,0,1,0.000192753,0.104343356,0.008738114,0.01227191,0.112246209,6.43E-05,6.43E-05,0.00462606,0.008224107,0.023901311,6.43E-05,0.026856849,6.43E-05,0.018247237,0.045039836,0.023965562,0.015163197,0.000192753,0.350616808,0.245245438,0.382163968,0.013621177,0.003276793,0.008288358,0.000642508,0.001220766,0.001220766
X21.6350,0.001759864,0,0.039227931,0,0.028725518,0,0.247402782,0,0,0,0.004825433,0,0.11819472,0,0,0,1,0.037695146,0,0,0,0.023218848,0.004087425,0.008799319,0.026341186,0,0.87891002,0,0.000283849,0.031450468
X21.6355,0.001759864,0,0.039227931,0,0.028725518,0,0.247402782,0,0,0,0.004825433,0,0.11819472,0,0,0,1,0.037695146,0,0,0,0.023218848,0.004087425,0.008799319,0.026341186,0,0.87891002,0,0.000283849,0.031450468
X21.8500,0.372570229,0.009646972,0.484391776,0.03155297,0.386736215,0.097214877,0.17249972,0.407400285,0.014750893,0.056936365,0.07800907,0.123367466,0.187162476,0.003902056,0.110819993,0.026873708,0.802677756,0.247536176,0,0,0.002980626,0.345584347,0.216167492,0.287830713,1,0.06682371,0.460402545,0.047922376,0.019966989,0.158894604
X21.8505,0.363152199,0.009484425,0.47607637,0.036917369,0.383891165,0.095756358,0.173958414,0.395369869,0.014732937,0.058158769,0.075581665,0.12193708,0.184532736,0.003957641,0.107235062,0.027479323,0.794156296,0.248133261,0,0,0.003014609,0.347746773,0.210929891,0.288343511,1,0.069034552,0.45648914,0.052678364,0.019625879,0.156512329
X21.8506,0.36045451,0,0.25349772,0,0.225168122,0.094133107,0.171059751,0.395369869,0,0,0.075465718,0.050537219,0.184532736,0,0.107235062,0,0.625600989,0.2265904,0.198059828,0.159642885,0,0.252531499,0.170997913,0.133485352,1,0.069034552,0.374035712,0,0.019625879,0.156512329
X21.6230,0.050131926,0.013598539,0.609295717,0.072457885,0.590217171,0.237061092,0.623300183,0.242135174,0.013801502,0.084026791,0.04729044,0.080982342,0.230566268,0.004059265,0.36939314,0.03917191,1,0.180434341,0.28110412,0.235031459,0.007306677,0.65110615,0.311142683,0.582910493,0.14552466,0,0.815100467,0.070225289,0.007306677,0.010757053
X21.6235,0.047244094,0.018372703,0.152230971,0.047244094,0.107611549,0.152230971,0.120734908,0.24671916,0.005249344,0.039370079,0.047244094,0.028871391,0.112860892,0,0.299212598,0.047244094,1,0.034120735,0.212598425,0.131233596,0.005249344,0.120734908,0.031496063,0.160104987,0.062992126,0.015748031,0.577427822,0.070866142,0,0.018372703
X21.6240,0.047244094,0.018372703,0.152230971,0.047244094,0.107611549,0.152230971,0.120734908,0.24671916,0.005249344,0.039370079,0.047244094,0.028871391,0.112860892,0,0.299212598,0.047244094,1,0.034120735,0.212598425,0.131233596,0.005249344,0.120734908,0.031496063,0.160104987,0.062992126,0.015748031,0.577427822,0.070866142,0,0.018372703
X21.6245,0.032119914,0.016059957,0.600642398,0.168094218,0.416488223,0.147751606,0.437901499,0.478586724,0.029978587,0.194860814,0.047109208,0.082441113,0.204496788,0.002141328,0.364025696,0.069593148,0.913276231,0.280513919,0.413276231,0.233404711,0.006423983,0.400428266,0.164882227,0.511777302,0.110278373,0.033190578,1,0.175588865,0.011777302,0.01391863
X21.6250,0.032119914,0.016059957,0.600642398,0.168094218,0.416488223,0.147751606,0.437901499,0.478586724,0.029978587,0.194860814,0.047109208,0.082441113,0.204496788,0.002141328,0.364025696,0.069593148,0.913276231,0.280513919,0.413276231,0.233404711,0.006423983,0.400428266,0.164882227,0.511777302,0.110278373,0.033190578,1,0.175588865,0.011777302,0.01391863
X21.6255,0.039622642,0.005660377,0.139622642,0.124528302,0.116981132,0.003773585,0.179245283,0.064150943,0.00754717,0.035849057,0.047169811,0.028301887,0.024528302,0,0.805660377,0.005660377,0.522641509,0.41509434,0.073584906,0.045283019,0.001886792,0.116981132,0.049056604,0.220754717,0.041509434,0.00754717,1,0.00754717,0.018867925,0
X21.6260,0.039622642,0.005660377,0.139622642,0.124528302,0.116981132,0.003773585,0.179245283,0.064150943,0.00754717,0.035849057,0.047169811,0.028301887,0.024528302,0,0.805660377,0.005660377,0.522641509,0.41509434,0.073584906,0.045283019,0.001886792,0.116981132,0.049056604,0.220754717,0.041509434,0.00754717,1,0.00754717,0.018867925,0
X21.6570,0.038990826,0.019266055,0.731192661,0.112844037,0.641284404,0.249082569,0.571559633,0.379816514,0.047706422,0.113302752,0.006880734,0.156422018,0.125229358,0.011009174,0.905963303,0.058715596,1,0.398623853,0.555504587,0.467889908,0.006422018,0.589908257,0.388990826,0.524770642,0.025688073,0,0.580275229,0.091743119,0.044954128,0.004587156
X21.6575,0.038990826,0.019266055,0.731192661,0.112844037,0.641284404,0.249082569,0.571559633,0.379816514,0.047706422,0.113302752,0.006880734,0.156422018,0.125229358,0.011009174,0.905963303,0.058715596,1,0.398623853,0.555504587,0.467889908,0.006422018,0.589908257,0.388990826,0.524770642,0.025688073,0,0.580275229,0.091743119,0.044954128,0.004587156
X21.7060,0.050131926,0.013598539,0.609295717,0.072457885,0.590217171,0.237061092,0.623300183,0.242135174,0.013801502,0.084026791,0.04729044,0.080982342,0.230566268,0.004059265,0.36939314,0.03917191,1,0.180434341,0.28110412,0.235031459,0.007306677,0.65110615,0.311142683,0.582910493,0.14552466,0,0.815100467,0.070225289,0.007306677,0.010757053
X21.7070,0.106515472,0,0.170189046,0,0.094921085,0,0.021038717,0,0,0,0.047731291,0.126311934,0.100367899,0,0.024255841,0,0.910207202,0.319769386,0,0,0,0.226377232,0.035961713,0.209734189,1,0,0.483460479,0,0.019223112,0
X21.7075,0.106515472,0,0.170189046,0,0.094921085,0,0.021038717,0,0,0,0.047731291,0.126311934,0.100367899,0,0.024255841,0,0.910207202,0.319769386,0,0,0,0.226377232,0.035961713,0.209734189,1,0,0.483460479,0,0.019223112,0
X21.21,0.363152199,0.009484425,0.47607637,0.036917369,0.383891165,0.095756358,0.173958414,0.395369869,0.014732937,0.058158769,0.075581665,0.12193708,0.184532736,0.003957641,0.107235062,0.027479323,0.794156296,0.248133261,0.198059828,0.159642885,0.003014609,0.347746773,0.210929891,0.288343511,1,0.069034552,0.45648914,0.052678364,0.019625879,0.156512329
X19.2060,0.363152199,0.009484425,0.479276494,0.036917369,0.387825616,0.095756358,0.173958414,0,0.014732937,0.058158769,0.075581665,0.12193708,0.184532736,0.003957641,0.107111386,0.027479323,0.794156296,0.248071423,0.200123676,0.161814949,0.003014609,0.350892788,0.213511633,0.290074979,1,0.069034552,0.45647368,0.052678364,0.01961042,0.156512329
X19.6100,0.040354331,0.015748031,0.738681102,0.069389764,0.518208661,0.159940945,0.42765748,0.489173228,0.047244094,0.132874016,0.001968504,0.119094488,0.152559055,0.00984252,0.438976378,0.041830709,0.673720472,1,0.605314961,0.489665354,0.005905512,0.534940945,0.352854331,0.539862205,0.016732283,0,0.361712598,0.102362205,0.017224409,0.00738189
X19.6105,0.040354331,0.015748031,0.738681102,0.069389764,0.518208661,0.159940945,0.42765748,0.489173228,0.047244094,0.132874016,0.001968504,0.119094488,0.152559055,0.00984252,0.438976378,0.041830709,0.673720472,1,0.605314961,0.489665354,0.005905512,0.534940945,0.352854331,0.539862205,0.016732283,0,0.361712598,0.102362205,0.017224409,0.00738189
X19.6140,0.008695652,0,0.060869565,0.052173913,0.017391304,0.026086957,0.095652174,0.069565217,0.026086957,0.043478261,0.026086957,0.008695652,0.017391304,0,0.104347826,0.034782609,1,0.043478261,0.130434783,0.07826087,0,0.07826087,0.086956522,0.060869565,0.017391304,0.060869565,0.095652174,0.026086957,0,0.017391304
X19.6145,0.008695652,0,0.060869565,0.052173913,0.017391304,0.026086957,0.095652174,0.069565217,0.026086957,0.043478261,0.026086957,0.008695652,0.017391304,0,0.104347826,0.034782609,1,0.043478261,0.130434783,0.07826087,0,0.07826087,0.086956522,0.060869565,0.017391304,0.060869565,0.095652174,0.026086957,0,0.017391304
X19.6150,0.00086038,0,0.777926485,0,0.383538072,0,0.174943836,0,0,0,0.003298122,0.000812581,0.062138521,0,0,0,1,0.1806797,0,0,0,0.781654797,0.263897519,0.408775871,0.25419435,0,0.621194016,0,0.001386167,0.02480761
X19.6155,0.00086038,0,0.777926485,0,0.383538072,0,0.174943836,0,0,0,0.003298122,0.000812581,0.062138521,0,0,0,1,0.1806797,0,0,0,0.781654797,0.263897519,0.408775871,0.25419435,0,0.621194016,0,0.001386167,0.02480761
X19.6160,0.040166205,0.01492767,1,0.066943675,0.6611265,0.183594952,0.43151739,0.737457679,0.034010465,0.094028932,0.012465374,0.156509695,0.168205602,0.00569406,0.358417975,0.044629117,0.664512158,0.274546014,0.534318252,0.512927054,0.00307787,0.608956602,0.417359187,0.609110496,0.012003693,0.002770083,0.424746076,0.046321945,0.034933826,0.003693444
